City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Port Blair,IN,2022-02-05 00:05:32,11.6667,92.75,78.37,83,71,7.43
214,Khandbari,NP,2022-02-05 00:05:33,27.3747,87.2039,43.25,79,98,3.38
215,Puerto Madryn,AR,2022-02-05 00:05:33,-42.7692,-65.0385,60.89,64,98,20.98
216,San Jeronimo,PE,2022-02-05 00:05:34,-11.9472,-75.2829,54.36,78,90,3.4
217,Lagoa,PT,2022-02-05 00:05:34,39.05,-27.9833,57.96,81,64,21.07
218,East London,ZA,2022-02-05 00:05:34,-33.0153,27.9116,68.9,85,99,7.74
219,Dingle,PH,2022-02-05 00:05:35,10.9995,122.6711,76.06,86,96,12.3
220,Padang,ID,2022-02-05 00:01:17,-0.9492,100.3543,75.79,89,100,3.18
221,Shaoyang,CN,2022-02-05 00:05:35,27.2315,111.4525,37.69,84,8,3.06
222,Takoradi,GH,2022-02-05 00:05:36,4.8845,-1.7554,79.3,82,26,5.7
223,Alofi,NU,2022-02-05 00:05:36,-19.0595,-169.9187,80.82,77,100,20.45
224,Quelimane,MZ,2022-02-05 00:05:37,-17.8786,36.8883,71.69,94,21,4.05
225,Asau,RO,2022-02-05 00:05:37,46.4333,26.4,20.32,76,30,5.77
226,Kavieng,PG,2022-02-05 00:05:37,-2.5744,150.7967,83.23,70,93,5.61
227,Urman,RU,2022-02-05 00:05:38,54.8831,56.8742,23.63,91,100,3.47
228,Cayenne,GF,2022-02-05 00:04:55,4.9333,-52.3333,79.09,88,75,3.0
229,Hilo,US,2022-02-05 00:05:42,19.7297,-155.09,78.62,79,100,8.05
230,Komsomolskiy,UZ,2022-02-05 00:06:38,40.4272,71.7189,33.22,68,33,9.22
231,Ust-Kuyga,RU,2022-02-05 00:06:39,70.0167,135.6,-37.7,100,99,5.19
232,Iqaluit,CA,2022-02-04 23:57:30,63.7506,-68.5145,-16.87,52,75,3.44
233,Pangnirtung,CA,2022-02-05 00:06:39,66.1451,-65.7125,-24.0,99,100,1.14
234,Bandarbeyla,SO,2022-02-05 00:06:40,9.4942,50.8122,72.81,74,1,5.97
235,Noyabrsk,RU,2022-02-05 00:06:40,63.1994,75.4507,5.49,96,86,11.65
236,Narsaq,GL,2022-02-05 00:06:41,60.9167,-46.05,-1.8,60,11,13.82
237,Provideniya,RU,2022-02-05 00:06:41,64.3833,-173.3,3.6,60,4,12.12
238,Prado,BR,2022-02-05 00:06:41,-17.3411,-39.2208,77.22,88,100,10.47
239,Avera,US,2022-02-05 00:06:42,33.194,-82.5271,58.51,87,100,12.26
240,Ondjiva,AO,2022-02-05 00:06:42,-17.0667,15.7333,69.06,64,100,5.64
241,Poum,NC,2022-02-05 00:06:43,-20.2333,164.0167,81.48,78,99,19.08
242,Constitucion,CL,2022-02-05 00:06:43,-35.3333,-72.4167,60.98,82,12,14.79
243,Shenzhen,CN,2022-02-05 00:06:37,22.5455,114.0683,57.22,87,89,7.47
244,Yenagoa,NG,2022-02-05 00:06:43,4.9247,6.2642,78.24,83,3,2.59
245,Brits,ZA,2022-02-05 00:06:44,-25.6347,27.7802,68.45,90,100,7.85
246,Marsh Harbour,BS,2022-02-05 00:05:29,26.5412,-77.0636,73.81,63,60,8.63
247,Laguna,US,2022-02-05 00:06:44,38.421,-121.4238,66.29,36,0,1.99
248,Kieta,PG,2022-02-05 00:06:45,-6.2167,155.6333,86.14,70,100,11.68
249,Lakes Entrance,AU,2022-02-05 00:06:45,-37.8811,147.981,68.58,60,100,7.47
250,Dzilam Gonzalez,MX,2022-02-05 00:06:45,21.2833,-88.9333,75.43,83,23,7.61
