City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Shimoda,JP,34.6667,138.95,36.1,72,50,10.58,scattered clouds
147,Roma,US,43.2128,-75.4557,31.68,52,0,10.36,clear sky
148,Kruisfontein,ZA,-34.0033,24.7314,75.88,58,100,14.34,overcast clouds
149,Parangan,PH,5.0839,119.9383,79.0,83,49,6.33,scattered clouds
150,Cairns,AU,-16.9167,145.7667,75.15,88,40,11.5,scattered clouds
151,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.32,65,13,12.3,few clouds
152,La Palma,US,33.8464,-118.0467,79.93,28,0,1.99,clear sky
153,Harper,LR,4.375,-7.7169,80.11,80,100,10.74,overcast clouds
154,Daru,PG,-9.0763,143.2092,77.92,88,100,6.49,overcast clouds
155,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
156,Haines Junction,CA,60.7522,-137.5108,29.03,92,100,7.07,overcast clouds
157,Iskateley,RU,67.6803,53.1512,9.46,88,100,15.84,overcast clouds
158,Adrar,MR,20.5022,-10.0711,73.11,8,0,9.17,clear sky
159,Orlik,RU,52.5178,99.825,-10.32,92,59,2.64,broken clouds
160,Iqaluit,CA,63.7506,-68.5145,-32.31,66,71,1.99,broken clouds
161,Nanakuli,US,21.3906,-158.1547,78.75,74,0,3.44,clear sky
162,Liverpool,GB,53.4106,-2.9779,43.84,76,40,14.0,scattered clouds
163,Gizo,SB,-8.103,156.8419,83.03,78,100,12.8,overcast clouds
164,Lincoln,US,40.8,-96.667,44.29,52,0,5.99,clear sky
165,Lagoa,PT,39.05,-27.9833,60.19,85,16,12.15,few clouds
166,La Ronge,CA,55.1001,-105.2842,7.86,93,100,9.31,overcast clouds
167,Cape Town,ZA,-33.9258,18.4232,69.1,73,15,1.01,few clouds
168,Norman Wells,CA,65.282,-126.8329,-10.21,96,100,10.07,overcast clouds
169,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,12.66,broken clouds
170,Requena,ES,39.4883,-1.1004,47.14,71,99,1.3,overcast clouds
171,Hualmay,PE,-11.0964,-77.6139,74.75,68,70,10.58,broken clouds
172,Martapura,ID,-3.4167,114.85,75.29,100,100,5.75,overcast clouds
173,Erzin,TR,36.9559,36.2,47.12,81,4,3.67,clear sky
174,Weiser,US,44.251,-116.9693,38.48,77,17,1.59,few clouds
175,Vermilion,US,40.1667,-87.7506,36.97,65,0,8.99,clear sky
176,Talcahuano,CL,-36.7167,-73.1167,76.68,47,0,12.66,clear sky
177,Montrose,US,38.4166,-108.2673,28.74,58,4,7.07,clear sky
178,Husavik,IS,66.0449,-17.3389,24.71,77,100,8.23,overcast clouds
179,Mapiripan,CO,2.8892,-72.1256,89.65,42,100,6.31,overcast clouds
180,Torbay,CA,47.6666,-52.7314,15.89,81,75,14.97,broken clouds
181,Pangnirtung,CA,66.1451,-65.7125,-31.5,97,100,2.39,overcast clouds
182,Provideniya,RU,64.3833,-173.3,-5.57,84,2,4.03,clear sky
183,Nanortalik,GL,60.1432,-45.2371,15.22,67,100,20.65,overcast clouds
184,Flin Flon,CA,54.7682,-101.865,-0.27,88,100,10.25,overcast clouds
185,Port Macquarie,AU,-31.4333,152.9167,62.89,94,75,8.05,broken clouds
186,Dudinka,RU,69.4058,86.1778,-33.32,100,16,4.41,few clouds
